matricula;latitude;longitude
2042897;-28,283768;-52,7691
2002200;-28,283804;-52,76914
2027362;-28,28374;-52,76942
1119978;-28,28385;-52,76959
2319100;-28,284014;-52,769596
2030656;-28,284046;-52,769543
1119980;-28,283632;-52,769707
1119979;-28,2835;-52,769817
2002324;-28,283405;-52,76973
2011290;-28,28366;-52,769268
2257863;-28,28373;-52,76919
2025799;-28,283615;-52,769
2007242;-28,283653;-52,768887
2015265;-28,283672;-52,768818
2002119;-28,283607;-52,76859
2175613;-28,283628;-52,768505
2091342;-28,283575;-52,768406
2289711;-28,283484;-52,76808
2298161;-28,283491;-52,767986
2354432;-28,28329;-52,767914
2392662;-28,283236;-52,767887
2491719;-28,283182;-52,76782
2099834;-28,283125;-52,767693
2071353;-28,28311;-52,7677
2207502;-28,283112;-52,767616
2016967;-28,282883;-52,767612
2112296;-28,282837;-52,767433
2376867;-28,282703;-52,767345
2200091;-28,282616;-52,76727
2730578;-28,282583;-52,76721
2188440;-28,282536;-52,767197
2224894;-28,282495;-52,767174
1302172;-28,282064;-52,767
1119306;-28,282103;-52,76705
1401887;-28,282034;-52,767082
2242301;-28,282013;-52,767143
1119303;-28,281927;-52,76719
2229205;-28,28185;-52,76741
1119951;-28,28196;-52,767593
2078837;-28,281975;-52,767635
1119952;-28,28202;-52,767704
2583384;-28,282116;-52,76767
1302509;-28,282185;-52,767693
1119954;-28,28223;-52,767807
1302510;-28,282333;-52,76784
1302511;-28,282488;-52,767986
1119958;-28,282495;-52,76799
1302512;-28,282528;-52,76798
1302513;-28,282623;-52,768112
1302514;-28,28279;-52,768204
1302515;-28,283054;-52,768288
1993236;-28,283192;-52,76854
2202455;-28,283194;-52,768585
1119941;-28,283146;-52,76868
1119935;-28,283157;-52,768753
1119942;-28,28316;-52,768833
1119936;-28,283194;-52,769035
1119939;-28,28327;-52,76919
1119938;-28,283203;-52,769234
1119897;-28,283234;-52,769432
1119900;-28,283257;-52,769543
1401972;-28,283207;-52,769993
1302485;-28,283152;-52,769997
1302484;-28,283197;-52,769753
1401971;-28,283152;-52,769547
1302483;-28,283075;-52,76944
2008226;-28,283157;-52,769356
1119896;-28,283134;-52,769333
1302502;-28,283108;-52,768982
1119940;-28,2831;-52,768955
1119934;-28,28308;-52,76888
1302501;-28,283085;-52,768852
1401980;-28,283014;-52,768646
1119931;-28,28306;-52,76856
